# d, delta_mu_mean, delta_mu_std, delta_e_mean, delta_e_std, delta_mu_vx_mean, delta_mu_vx_std, delta_e_vx_mean, delta_e_vx_std, N_mu, N_e, N_vx_mu_e, Ntot
# d & deltas are in mm. delta_*_vx is obtained from selecting events with L1&L2 muon and L3&L4 positron hits
5.000,0.181,0.142,0.098,0.457,0.177,0.112,0.069,0.074,98679,14225,13996,100000
10.000,0.355,0.262,0.156,0.601,0.334,0.189,0.115,0.103,98648,12649,12123,100000
15.000,0.531,0.390,0.203,0.630,0.450,0.228,0.157,0.135,98627,11174,9908,100000
20.000,0.704,0.497,0.252,0.611,0.523,0.250,0.192,0.154,98475,9913,7488,100000
25.000,0.882,0.616,0.301,0.668,0.579,0.266,0.230,0.182,98336,8797,5546,100000
30.000,1.051,0.715,0.355,0.719,0.616,0.285,0.270,0.210,98151,7816,3969,100000
35.000,1.223,0.821,0.407,0.906,0.643,0.292,0.302,0.218,97910,6970,2868,100000
40.000,1.389,0.912,0.454,0.847,0.674,0.309,0.346,0.251,97680,6378,2138,100000
